source,reliability,bias
the-mirror,26.88,-3.38
the-moscow-times,44.53,-0.02
the-mother-jones-podcast,38.89,-10.56
the-motley-fool,42.37,-0.44
the-nation,31.32,-19.23
the-new-abnormal,15.42,-23.2
the-new-american,15.21,22.55
the-new-york-times,40.94,-7.94
the-new-yorker,40.91,-12.25
the-new-yorker-radio-hour,44.55,-11.65
the-news-&-why-it-matters,20.14,22.29
the-news-with-shepard-smith,44.28,-9.3
the-next-revolution-with-steve-hilton,23.39,25.86
the-oregonian,46.27,-3.82
the-patriot-post,18.87,19.6
the-people’s-voice,14.27,24.69
the-politicsgirl-podcast,23.44,-18.87
the-president’s-inbox,44.44,-1.67
the-problem-with-jon-stewart,28.61,-16.33
the-progressive,32.61,-16.75
the-rachel-maddow-show,36.71,-17.67
the-real-story,46.89,-1.44
the-realignment,39.89,1.33
the-reason-roundtable,36.87,6.21
the-record-with-greta-van-susteren,32.6,14.67
the-reidout,23.53,-21.18
the-remnant,38.67,6.22
the-right-scoop,21.35,22.42
the-right-view-with-lara-trump,25.89,18.87
the-root,26.43,-18.51
the-rubin-report,22.24,22.97
the-sean-hannity-show,14.52,24.52
the-sharyl-attkisson-podcast,38.11,6.28
the-situation-room,42.04,-11.59
the-skepticrat,15.09,-26.2
the-skimm,42.76,-6.67
the-smerconish-podcast,38.83,-3.76
the-social-contract-with-joe-walsh,34.11,-11.11
the-story,41.22,-1.89
the-story-with-martha-maccallum,34.73,15.44
the-stranger,36.49,-18.39
the-stream,19.41,22.92
the-stream-tv-show,29.17,-22.47
the-sunday-show-with-jonathan-capehart,33.58,-15.33
the-takeout,45.42,-2.42
the-trace,45.57,-7.09
the-trey-gowdy-podcast,41.58,5.38
the-trish-regan-show,16.99,23.52
the-verge,39.43,-4.75
the-view,25.86,-20.12
the-village-voice,43.02,-7.91
the-water-cooler-with-david-brody,24.59,21.07
the-weather-channel,46.2,-1.85
the-weeds,41.11,-8.33
the-week,38.32,-10.75
the-week-on-the-hill,43.78,-0.33
the-world-according-to-jesse,35.0,-13.78
the-world-and-everything-in-it,39.13,11.45
the-wrap,37.42,-5.98
the-young-turks,25.16,-24.96
thegrio,39.55,-10.82
this-american-life,40.2,-9.17
tim-pool-daily-show,13.07,22.44
time-magazine,41.12,-7.42
time’s-the-brief,42.78,-5.61
tipping-point,14.9,26.94
tmz,34.94,-4.67
today-in-focus,41.78,-3.67
today-with-hoda-&-jenna,33.56,-0.56
"today,-explained",42.06,-13.42
townhall,24.95,19.79
trending-politics,23.05,17.45
trib-live,47.01,-1.04
true-pundit,37.42,8.05
truth-over-news,28.33,17.42
truthout,34.51,-16.87
tucker-carlson-today,23.28,14.67
tucker-carlson-tonight,19.07,23.89
tucker-on-x,12.69,21.14
turley-talks,22.07,22.74
turning-point-usa,20.6,16.97
twitchy,17.77,21.0
tyt:-the-conversation,21.52,-24.17
un-news,44.26,-4.68
undistracted-with-brittany-packnett-cunningham,32.11,-15.67
unfiltered-with-dan-bongino,18.89,22.11
unlocking-us-with-brene-brown,30.44,-21.8
up-first,44.19,-9.51
upfront,39.47,-13.21
upi,45.5,-1.18
uproxx,34.69,-14.87
upworthy,39.86,-5.57
us-news-and-world-report,43.83,-2.9
us-weekly,36.76,0.04
usa-today,40.78,-4.12
useful-idiots,13.02,-23.13
vanity-fair,33.19,-13.87
variety,41.29,-3.85
verdict-with-ted-cruz,27.0,18.87
veterans-of-foreign-wars-vfw,40.88,-0.1
vice,38.96,-9.39
vogue,39.13,-10.91
voice-of-america,46.29,-3.24
vox,39.59,-10.05
vt-foreign-policy,9.04,10.95
vulture,38.72,-7.96
wait-wait-…-don’t-tell-me,34.67,-4.08
wake-up-america,17.49,21.33
wall-street-journal,43.28,4.55
war-on-the-rocks,40.02,1.5
washington-blade,42.71,-7.49
washington-examiner,34.07,11.3
washington-free-beacon,23.47,14.45
washington-journal,35.44,-3.44
washington-monthly,35.78,-12.08
washington-post,38.8,-6.85
washington-times,34.92,11.31
washington-week,41.56,-6.81
washington’s-top-news,46.27,-0.26
washingtonian,42.98,-2.62
watters’-world,29.33,19.0
watts-up-with-that?,25.52,13.76
weasel-zippers,25.38,13.42
western-journal,21.77,19.53
what-a-day,36.93,-16.11
what-next,42.67,-7.21
what-the-hell-is-going-on?,34.56,11.56
what’s-news,46.27,0.27
who-what-why,36.05,-12.94
why-is-this-happening?-with-chris-hayes,40.83,-13.42
why-it-matters,47.78,-1.0
wired,36.77,-7.24
witness,51.93,-13.96
wnd,13.06,21.0
wonkette,20.03,-25.18
world-socialist-web-site,30.4,-25.6
worldtruth.tv,8.52,25.64
x22-report,6.59,34.48
yahoo-news,41.17,-5.69
yes!-magazine,39.57,-14.64
you-and-me-both-with-hillary-clinton,31.11,-13.11
your-money-briefing,44.87,-0.2
your-world-with-neil-cavuto,36.58,13.53
zerohedge,20.78,16.08
bbc-world-news-america,,-3.78
